,datetime,open,high,low,close,volume
18026,2024-04-03 17:04:00,155.0,155.0,155.0,155.0,10
18027,2024-04-03 16:59:00,154.7,154.7,154.7,154.7,15
18028,2024-04-03 16:55:00,154.10001,154.10001,154.10001,154.10001,6
18029,2024-04-03 16:48:00,154.5,154.5,154.3,154.3,178
18030,2024-04-03 16:47:00,154.53999,154.53999,154.53999,154.53999,10
18031,2024-04-03 16:42:00,154.24001,154.24001,154.24001,154.24001,10
18032,2024-04-03 16:40:00,154.39999,154.39999,154.39999,154.39999,26
18033,2024-04-03 16:35:00,154.5,154.5,154.5,154.5,10
18034,2024-04-03 16:33:00,154.8,154.8,154.8,154.8,130
18035,2024-04-03 16:26:00,154.39999,154.39999,154.39999,154.39999,4
18036,2024-04-03 16:16:00,153.16,153.16,153.16,153.16,100
18037,2024-04-03 16:15:00,153.16,153.16,153.16,153.16,150
18038,2024-04-03 16:08:00,152.5,152.5,152.5,152.5,15
18039,2024-04-03 16:05:00,152.78,152.78,152.78,152.78,245
18040,2024-04-03 15:58:00,151.52,151.52,151.52,151.52,4
18041,2024-04-03 15:55:00,152.02,152.02,152.02,152.02,22
18042,2024-04-03 15:54:00,151.58,151.58,151.58,151.58,20
18043,2024-04-03 15:53:00,151.53999,151.53999,151.53999,151.53999,375
18044,2024-04-03 15:52:00,151.46001,151.46001,151.46001,151.46001,750
18045,2024-04-03 15:43:00,152.3,152.3,152.3,152.3,12
18046,2024-04-03 15:42:00,152.8,152.8,152.8,152.8,12
18047,2024-04-03 15:40:00,153.3,153.3,153.3,153.3,14
18048,2024-04-03 15:37:00,153.58,153.58,153.58,153.58,5
18049,2024-04-03 15:34:00,154.02,154.02,154.02,154.02,18
18050,2024-04-03 15:10:00,152.34,152.34,152.34,152.34,137
18051,2024-04-03 15:06:00,152.0,152.0,152.0,152.0,50
18052,2024-04-03 15:04:00,153.17999,153.17999,153.17999,153.17999,30
18053,2024-04-03 15:00:00,152.62,152.62,152.62,152.62,6
18054,2024-04-03 14:54:00,152.52,153.0,152.52,153.0,1000
18055,2024-04-03 14:47:00,152.16,152.16,152.16,152.16,135
18056,2024-04-03 14:46:00,152.10001,152.10001,152.10001,152.10001,42
18057,2024-04-03 14:40:00,152.03999,152.03999,152.03999,152.03999,600
18058,2024-04-03 14:29:00,152.60001,152.60001,152.60001,152.60001,4
18059,2024-04-03 14:24:00,153.06,153.06,153.06,153.06,100
18060,2024-04-03 14:18:00,152.82001,152.82001,152.82001,152.82001,1
18061,2024-04-03 14:15:00,152.17999,152.17999,152.17999,152.17999,25
18062,2024-04-03 14:08:00,152.72,152.72,152.72,152.72,65
18063,2024-04-03 14:02:00,152.10001,152.10001,152.10001,152.10001,30
18064,2024-04-03 14:01:00,152.44,152.44,152.44,152.44,2
18065,2024-04-03 13:59:00,152.62,152.62,152.62,152.62,100
18066,2024-04-03 13:44:00,151.7,151.7,151.7,151.7,300
18067,2024-04-03 13:42:00,152.5,152.5,152.5,152.5,100
18068,2024-04-03 13:41:00,152.52,152.52,152.52,152.52,60
18069,2024-04-03 13:40:00,153.42,153.42,153.42,153.42,4
18070,2024-04-03 13:32:00,154.03999,154.03999,154.03999,154.03999,10
18071,2024-04-03 13:02:00,152.88,152.88,152.88,152.88,1
18072,2024-04-03 12:59:00,153.62,153.62,153.62,153.62,10
18073,2024-04-03 12:57:00,152.84,152.84,152.84,152.84,12
18074,2024-04-03 12:40:00,152.82001,152.82001,152.82001,152.82001,100
18075,2024-04-03 12:35:00,152.7,152.7,152.7,152.7,3
18076,2024-04-03 12:30:00,153.0,153.0,153.0,153.0,12
18077,2024-04-03 12:20:00,153.2,153.2,153.2,153.2,9
18078,2024-04-03 12:16:00,153.38,153.38,153.38,153.38,64
18079,2024-04-03 12:09:00,153.12,153.12,153.12,153.12,270
18080,2024-04-03 12:07:00,153.46001,153.46001,153.46001,153.46001,40
18081,2024-04-03 11:55:00,153.52,153.52,153.52,153.52,14
18082,2024-04-03 11:49:00,153.5,153.5,153.5,153.5,15
18083,2024-04-03 11:43:00,153.28,153.28,153.28,153.28,14
18084,2024-04-03 11:38:00,153.28,153.28,153.28,153.28,30
18085,2024-04-03 11:33:00,153.10001,153.10001,153.10001,153.10001,10
18086,2024-04-03 11:32:00,153.10001,153.10001,153.10001,153.10001,70
18087,2024-04-03 11:24:00,153.5,153.5,153.5,153.5,10
18088,2024-04-03 11:21:00,153.39999,153.39999,153.39999,153.39999,80
18089,2024-04-03 11:13:00,153.58,153.58,153.58,153.58,15
18090,2024-04-03 10:54:00,153.39999,153.39999,153.39999,153.39999,10
18091,2024-04-03 10:52:00,153.34,153.34,153.34,153.34,100
18092,2024-04-03 10:42:00,153.2,153.2,153.2,153.2,1
18093,2024-04-03 10:38:00,153.2,153.2,153.2,153.2,84
18094,2024-04-03 10:30:00,153.34,153.34,153.10001,153.10001,20
18095,2024-04-03 10:26:00,153.32001,153.32001,153.02,153.02,120
18096,2024-04-03 10:15:00,153.14,153.14,153.14,153.14,12
18097,2024-04-03 10:02:00,153.5,153.5,153.5,153.5,20
18098,2024-04-03 10:01:00,153.56,153.56,153.56,153.56,5
18099,2024-04-03 09:50:00,154.06,154.06,154.06,154.06,20
18100,2024-04-03 09:44:00,154.16,154.16,154.16,154.16,20
18101,2024-04-03 09:39:00,153.92,153.92,153.92,153.92,15
18102,2024-04-03 09:36:00,154.28,154.28,154.28,154.28,5
18103,2024-04-03 09:22:00,155.0,155.0,155.0,155.0,30
18104,2024-04-03 09:05:00,155.10001,155.10001,155.10001,155.10001,30
18105,2024-04-03 09:02:00,154.82001,154.82001,154.82001,154.82001,10
18106,2024-04-03 08:31:00,153.86,153.86,153.86,153.86,30
18107,2024-04-03 08:29:00,153.7,153.7,153.7,153.7,20
18108,2024-04-03 08:18:00,154.98,154.98,154.98,154.98,25
18109,2024-04-03 08:00:00,153.75999,153.75999,153.75999,153.75999,0
18110,2024-04-04 21:34:00,157.89999,157.89999,157.89999,157.89999,10
18111,2024-04-04 21:15:00,158.16,158.16,158.16,158.16,70
18112,2024-04-04 20:36:00,159.38,159.38,159.38,159.38,60
18113,2024-04-04 20:09:00,161.0,161.0,161.0,161.0,100
18114,2024-04-04 19:48:00,161.5,161.5,161.5,161.5,19
18115,2024-04-04 19:40:00,161.44,161.44,161.44,161.44,45
18116,2024-04-04 19:11:00,161.75999,161.8,161.75999,161.8,30
18117,2024-04-04 19:00:00,162.89999,162.89999,162.89999,162.89999,10
18118,2024-04-04 18:59:00,162.7,162.7,162.7,162.7,100
18119,2024-04-04 18:53:00,162.64,162.64,162.64,162.64,25
18120,2024-04-04 18:43:00,162.72,162.72,162.72,162.72,150
18121,2024-04-04 18:32:00,161.56,161.56,161.56,161.56,2
18122,2024-04-04 18:21:00,160.75999,160.75999,160.75999,160.75999,60
18123,2024-04-04 18:19:00,161.2,161.2,161.2,161.2,15
18124,2024-04-04 18:16:00,161.53999,161.53999,161.53999,161.53999,128
18125,2024-04-04 18:12:00,161.02,161.02,161.02,161.02,20
18126,2024-04-04 18:03:00,161.02,161.02,161.02,161.02,125
18127,2024-04-04 17:58:00,161.0,161.0,161.0,161.0,114
18128,2024-04-04 17:57:00,160.56,160.56,160.56,160.56,2000
18129,2024-04-04 17:54:00,160.3,160.3,160.3,160.3,120
18130,2024-04-04 17:53:00,160.3,160.3,160.3,160.3,15
18131,2024-04-04 17:51:00,160.02,160.02,160.02,160.02,67
18132,2024-04-04 17:50:00,159.89999,159.89999,159.89999,159.89999,60
18133,2024-04-04 17:43:00,159.0,159.0,159.0,159.0,15
18134,2024-04-04 17:36:00,158.56,158.56,158.56,158.56,15
18135,2024-04-04 17:29:00,158.2,158.2,158.2,158.2,65
18136,2024-04-04 17:10:00,157.60001,157.60001,157.60001,157.60001,35
18137,2024-04-04 16:27:00,156.7,156.7,156.7,156.7,6
18138,2024-04-04 16:21:00,155.94,155.94,155.94,155.94,330
18139,2024-04-04 16:20:00,156.2,156.2,156.2,156.2,50
18140,2024-04-04 16:18:00,156.2,156.2,156.2,156.2,3
18141,2024-04-04 16:08:00,156.2,156.2,156.2,156.2,150
18142,2024-04-04 16:00:00,155.28,155.28,154.52,154.52,401
18143,2024-04-04 15:59:00,155.86,155.86,155.86,155.86,30
18144,2024-04-04 15:57:00,155.62,155.62,155.62,155.62,6
18145,2024-04-04 15:45:00,155.42,155.42,155.42,155.42,20
18146,2024-04-04 15:07:00,156.75999,156.75999,156.75999,156.75999,10
18147,2024-04-04 14:58:00,156.53999,156.53999,156.53999,156.53999,197
18148,2024-04-04 14:56:00,156.67999,156.67999,156.67999,156.67999,100
18149,2024-04-04 14:49:00,156.66,156.66,156.66,156.66,9
18150,2024-04-04 14:26:00,156.46001,156.46001,156.46001,156.46001,30
18151,2024-04-04 14:09:00,156.39999,156.39999,156.39999,156.39999,1
18152,2024-04-04 13:59:00,156.44,156.44,156.44,156.44,20
18153,2024-04-04 13:42:00,156.12,156.12,156.12,156.12,7
18154,2024-04-04 13:40:00,156.52,156.52,156.52,156.52,6
18155,2024-04-04 13:34:00,156.38,156.38,156.38,156.38,50
18156,2024-04-04 13:28:00,156.60001,156.60001,156.60001,156.60001,7
18157,2024-04-04 13:26:00,156.3,156.3,156.3,156.3,10
18158,2024-04-04 13:21:00,156.46001,156.46001,156.46001,156.46001,100
18159,2024-04-04 13:17:00,156.36,156.36,156.36,156.36,5
18160,2024-04-04 12:57:00,156.10001,156.10001,156.10001,156.10001,200
18161,2024-04-04 12:50:00,156.24001,156.24001,156.24001,156.24001,4
18162,2024-04-04 12:30:00,156.75999,156.75999,156.75999,156.75999,100
18163,2024-04-04 11:54:00,156.17999,156.17999,156.16,156.16,14
