Price;Close;High;Low;Open;Volume
Ticker;TSLA;TSLA;TSLA;TSLA;TSLA
Date;;;;;
31.10.2023;20.083.999.633.789.000;2.028.000.030.517.570;19.407.000.732.421.800;1.961.199.951.171.870;118068300
01.11.2023;20.566.000.366.210.900;20.599.000.549.316.400;19.785.000.610.351.500;2.040.399.932.861.320;121661700
02.11.2023;21.850.999.450.683.500;2.191.999.969.482.420;2.114.499.969.482.420;21.297.000.122.070.300;125987600
03.11.2023;2.199.600.067.138.670;2.263.699.951.171.870;21.839.999.389.648.400;22.114.999.389.648.400;119281000
06.11.2023;21.927.000.427.246.000;22.632.000.732.421.800;215.0;22.397.999.572.753.900;117335800
07.11.2023;22.217.999.267.578.100;2.231.199.951.171.870;21.572.000.122.070.300;21.997.999.572.753.900;116900100
08.11.2023;22.211.000.061.035.100;22.414.999.389.648.400;21.763.999.938.964.800;22.314.999.389.648.400;106584800
09.11.2023;20.997.999.572.753.900;2.208.000.030.517.570;20.667.999.267.578.100;219.75;142110500
10.11.2023;21.464.999.389.648.400;2.153.800.048.828.120;20.569.000.244.140.600;21.002.999.877.929.600;130994000
13.11.2023;2.237.100.067.138.670;22.539.999.389.648.400;21.161.000.061.035.100;21.560.000.610.351.500;140447600
14.11.2023;23.741.000.366.210.900;23.813.999.938.964.800;23.072.000.122.070.300;23.502.999.877.929.600;149771600
15.11.2023;24.283.999.633.789.000;2.466.999.969.482.420;2.364.499.969.482.420;2.392.899.932.861.320;150354000
16.11.2023;23.358.999.633.789.000;2.408.800.048.828.120;2.309.600.067.138.670;23.949.000.549.316.400;136816800
17.11.2023;2.343.000.030.517.570;23.738.999.938.964.800;2.265.399.932.861.320;232.0;142532800
20.11.2023;23.560.000.610.351.500;23.710.000.610.351.500;23.102.000.427.246.000;2.340.399.932.861.320;116320100
21.11.2023;2.411.999.969.482.420;2.436.199.951.171.870;23.333.999.633.789.000;2.350.399.932.861.320;122288000
22.11.2023;2.342.100.067.138.670;24.400.999.450.683.500;23.139.999.389.648.400;2.420.399.932.861.320;117950600
24.11.2023;2.354.499.969.482.420;238.75;2.323.300.018.310.540;233.75;65125200
27.11.2023;2.360.800.018.310.540;2.383.300.018.310.540;23.210.000.610.351.500;23.688.999.938.964.800;112031800
28.11.2023;24.672.000.122.070.300;247.0;23.400.999.450.683.500;23.667.999.267.578.100;148549900
29.11.2023;24.413.999.938.964.800;252.75;24.275.999.450.683.500;2.492.100.067.138.670;135401300
30.11.2023;2.400.800.018.310.540;24.522.000.122.070.300;23.691.000.366.210.900;24.513.999.938.964.800;132353200
01.12.2023;2.388.300.018.310.540;24.019.000.244.140.600;23.189.999.389.648.400;23.313.999.938.964.800;121173500
04.12.2023;2.355.800.018.310.540;2.393.699.951.171.870;2.332.899.932.861.320;235.75;104099800
05.12.2023;23.872.000.122.070.300;24.666.000.366.210.900;2.336.999.969.482.420;2.338.699.951.171.870;137971100
06.12.2023;2.393.699.951.171.870;24.657.000.732.421.800;2.391.699.981.689.450;2.429.199.981.689.450;126436200
