,event_id,event_fin_offset,event_time,fin_time,event_emo,actual_return,expected_return,abnormal_return,actual_volume,expected_volume,abnormal_volume,actual_volume_z_intraday,expected_volume_z_intraday,abnormal_volume_z_intraday
4662,52,162,2024-10-10 19:22:00+00:00,2024-10-10 22:04:00+00:00,joy,0.0001044506419441,5.6463168771586046e-05,4.7987473172513954e-05,8.03268487596762,11.704153004426942,-3.6714681284593222,0.3841551773993762,0.0728668447291877,0.3112883326701885
4663,52,163,2024-10-10 19:22:00+00:00,2024-10-10 22:05:00+00:00,joy,-4.136114947827061e-05,5.6463168771586046e-05,-9.782431824985666e-05,8.759197750371365,11.704153004426942,-2.944955254055577,0.7269873149147225,0.0728668447291877,0.6541204701855348
4664,52,164,2024-10-10 19:22:00+00:00,2024-10-10 22:06:00+00:00,joy,8.313835166505907e-05,5.6463168771586046e-05,2.6675182893473022e-05,6.169610732491456,11.704153004426942,-5.534542271935486,-0.4732855500172169,0.0728668447291877,-0.5461523947464046
4665,52,165,2024-10-10 19:22:00+00:00,2024-10-10 22:07:00+00:00,joy,8.354916873423306e-05,5.6463168771586046e-05,2.708599996264701e-05,7.675546002537848,11.704153004426942,-4.028607001889094,0.2267318127508512,0.0728668447291877,0.1538649680216635
4666,52,166,2024-10-10 19:22:00+00:00,2024-10-10 22:08:00+00:00,joy,-6.26612221231448e-05,5.6463168771586046e-05,-0.00011912439089473086,7.037905963447182,11.704153004426942,-4.66624704097976,-0.0589181021183674,0.0728668447291877,-0.1317849468475551
4667,52,167,2024-10-10 19:22:00+00:00,2024-10-10 22:09:00+00:00,joy,4.177458434898066e-05,5.6463168771586046e-05,-1.4688584422605388e-05,6.371611847231857,11.704153004426942,-5.332541157195085,-0.3818546691787419,0.0728668447291877,-0.4547215139079296
4668,52,168,2024-10-10 19:22:00+00:00,2024-10-10 22:10:00+00:00,joy,-4.17745843489378e-05,5.6463168771586046e-05,-9.823775312052385e-05,8.558718938244736,11.704153004426942,-3.1454340661822062,0.6580595766677537,0.0728668447291877,0.585192731938566
4669,52,169,2024-10-10 19:22:00+00:00,2024-10-10 22:11:00+00:00,joy,0.0001044331889623,5.6463168771586046e-05,4.797002019071395e-05,7.423568444259167,11.704153004426942,-4.280584560167775,0.10129570208209,0.0728668447291877,0.028428857352902306
4670,52,170,2024-10-10 19:22:00+00:00,2024-10-10 22:12:00+00:00,joy,0.0002088336647454,5.6463168771586046e-05,0.00015237049597381397,9.43236329562169,11.704153004426942,-2.2717897088052528,1.0202465527676798,0.0728668447291877,0.9473797080384921
4671,52,171,2024-10-10 19:22:00+00:00,2024-10-10 22:13:00+00:00,joy,-4.176324417488003e-05,5.6463168771586046e-05,-9.822641294646608e-05,6.77078942390898,11.704153004426942,-4.9333635805179625,-0.1771202107529022,0.0728668447291877,-0.2499870554820899
